ctry,isic,year,rca
jpn,c75,2005,0
hkg,c71,2005,0
bgr,c31,2008,0
brn,c31,1995,0
bra,c31,2008,0
idn,c85,2005,0
isl,c85,2000,0
pol,c71,1995,0
usa,c75,1995,0
prt,c72,2005,0
sau,c80,2005,0
zaf,c26,2008,0
idn,c31,2008,0
brn,c75,2000,0
ind,c70,2005,0
grc,c10t14,2005,0
mlt,c31,2008,0
tha,c72,2000,0
rus,c28,2005,0
hun,c72,2008,0
tur,c72,1995,0
rus,c35,1995,0
ind,c35,2008,0
arg,c85,2000,0
sgp,c34,1995,0
ltu,c28,2008,0
ltu,c72,2000,0
phl,c71,2005,0
isl,c70,2008,0
isl,c75,2005,0
phl,c64,2008,0
est,c35,1995,0
phl,c90t93,2008,0
bra,c72,2005,0
arg,c71,2000,0
chn,c71,1995,0
dnk,c71,1995,0
idn,c80,2005,0
vnm,c71,1995,0
cze,c35,2008,0
lux,c23,2008,0
fra,c71,2005,0
pol,c71,2008,0
dnk,c70,1995,0
nor,c80,1995,0
fin,c70,2005,0
ind,c80,1995,0
fin,c70,2000,0
rus,c71,1995,0
row,c70,1995,0
chl,c35,2005,0
isl,c23,2008,0
twn,c71,2000,0
mys,c72,2000,0
rus,c31,2008,0
chn,c71,2000,0
lva,c23,2005,0
arg,c72,2005,0
kor,c71,2005,0
rou,c28,2008,0
bra,c71,2005,0
hun,c31,1995,0
pol,c72,1995,0
vnm,c75,2000,0
mex,c31,1995,0
idn,c71,2005,0
hun,c71,1995,0
phl,c45,2005,0
mex,c28,2005,0
khm,c40t41,2005,0
svn,c72,2008,0
can,c72,1995,0
zaf,c71,2005,0
fin,c45,2005,0
brn,c34,2005,0
khm,c71,2005,0
che,c71,2000,0
irl,c71,1995,0
jpn,c72,2005,0
lux,c23,2005,0
pol,c75,2000,0
irl,c31,1995,0
ltu,c31,2000,0
bgr,c28,1995,0
ind,c45,1995,0
vnm,c72,2005,0
tur,c72,2008,0
kor,c28,1995,0
fra,c70,2000,0
idn,c72,2005,0
sgp,c10t14,2005,0
grc,c31,2005,0
zaf,c80,1995,0
phl,c70,1995,0
bra,c70,2000,0
sau,c73t74,2008,0
brn,c40t41,1995,0
tur,c35,1995,0
hun,c71,2000,0
ltu,c72,2008,0
tur,c35,2008,0
irl,c23,2000,0
rus,c72,2005,0
sau,c80,2000,0
idn,c64,2005,0
sau,c85,2005,0
tur,c28,2005,0
sgp,c10t14,2008,0
jpn,c45,2008,0
ind,c28,2005,0
arg,c72,2000,0
sau,c85,2008,0
mex,c72,2000,0
mex,c75,2005,0
mex,c45,2000,0
khm,c72,2000,0
zaf,c75,1995,0
fra,c70,2005,0
tha,c75,2005,0
isl,c23,2005,0
hkg,c10t14,2005,0
chl,c303233,2000,0
can,c35,2008,0
tha,c75,2008,0
phl,c72,2000,0
ltu,c31,2008,0
dnk,c31,2008,0
brn,c75,1995,0
mex,c31,2005,0
row,c40t41,2008,0
isl,c85,1995,0
sau,c73t74,2005,0
mys,c71,2008,0
zaf,c35,2008,0
aus,c71,2005,0
khm,c45,2008,0
idn,c35,2008,0
ind,c75,2000,0
isl,c23,2000,0
irl,c85,2008,0
est,c35,2008,0
isl,c85,2008,0
idn,c73t74,2005,0
mex,c71,2005,0
svn,c71,2008,0
isr,c45,2005,0
vnm,c40t41,2000,0
irl,c35,1995,0
kor,c35,1995,0
dnk,c35,2000,0
bgr,c71,2008,0
brn,c31,2000,0
pol,c31,1995,0
pol,c73t74,1995,0
bgr,c72,2008,0
ind,c71,2000,0
pol,c31,2008,0
prt,c28,2005,0
tur,c72,2005,0
fra,c55,2005,0
phl,c40t41,1995,0
ltu,c35,2008,0
zaf,c21t22,2005,0
mlt,c40t41,2000,0
irl,c70,2000,0
brn,c29,2005,0
zaf,c24,2008,0
deu,c85,2008,0
phl,c75,1995,0
rus,c35,2008,0
tha,c71,2008,0
row,c45,2008,0
vnm,c75,2008,0
ind,c72,2008,0
hun,c28,1995,0
sau,c71,2005,0
dnk,c71,2008,0
ltu,c71,2008,0
irl,c23,2005,0
mlt,c28,2008,0
vnm,c71,2005,0
ind,c31,2005,0
aus,c35,2008,0
chn,c71,2008,0
aus,c31,2008,0
idn,c45,1995,0
zaf,c28,2008,0
can,c31,2008,0
arg,c70,2005,0
phl,c75,2005,0
arg,c85,2005,0
chl,c72,2008,0
vnm,c40t41,2008,0
bgr,c72,1995,0
fra,c71,2000,0
gbr,c71,2008,0
mlt,c31,1995,0
ind,c35,2000,0
fra,c55,2008,0
can,c71,2008,0
mlt,c28,1995,0
mex,c35,2000,0
arg,c55,2008,0
chl,c45,2005,0
svk,c28,2008,0
