ctry,isic,year,rca
twn,c01t05,2005,0.1714257
swe,c17t19,2005,0.1715183
bra,c85,2000,0.1717067
isr,c21t22,2000,0.1718178
vnm,c29,2005,0.1719967
sgp,c15t16,2005,0.1724515
nor,c26,2005,0.1724751
nzl,c65t67,1995,0.1726895
nzl,c65t67,2005,0.1727529
nzl,c23,2005,0.1733715
hkg,c70,1995,0.1734941
lux,c71,2005,0.174228
ltu,c73t74,2008,0.1743426
est,c80,2005,0.1745187
dnk,c90t93,1995,0.1746624
prt,c27,1995,0.1748227
isl,c50t52,2008,0.1749229
irl,c20,2005,0.1751136
fin,c40t41,1995,0.1752072
mys,c35,1995,0.1755205
dnk,c27,2005,0.1757225
lva,c10t14,1995,0.1759917
bgr,c10t14,2005,0.1761255
rus,c303233,1995,0.1761323
cyp,c17t19,2000,0.1762137
svk,c55,1995,0.1764036
cze,c71,2000,0.1764185
tha,c29,1995,0.1765413
lva,c24,2000,0.1767487
isl,c29,1995,0.1768145
vnm,c28,2005,0.1771329
aus,c40t41,2000,0.1771436
mex,c65t67,2000,0.1772299
brn,c21t22,1995,0.177325
aut,c55,2000,0.1776191
nor,c20,2008,0.17767
arg,c35,2008,0.1777595
ind,c50t52,2000,0.1778139
twn,c20,2000,0.1784788
irl,c29,2008,0.1786275
grc,c55,2000,0.1787229
khm,c10t14,2005,0.1789412
ltu,c90t93,2008,0.1790517
lva,c29,2000,0.1790643
gbr,c01t05,2008,0.1792118
khm,c35,1995,0.1792179
che,c23,2008,0.1804746
irl,c25,2005,0.180683
mys,c35,2005,0.1808142
hun,c85,2000,0.1809672
rus,c64,1995,0.181219
bgr,c10t14,2008,0.1813765
khm,c27,2005,0.1814449
hkg,c29,2000,0.18181
est,c34,2005,0.1819349
grc,c21t22,2005,0.1820273
hkg,c28,2008,0.1822818
chl,c65t67,2008,0.1825985
twn,c90t93,1995,0.1826227
lva,c90t93,2005,0.1831051
cyp,c21t22,2005,0.1831815
bgr,c36t37,1995,0.1833141
jpn,c17t19,2008,0.1833777
bra,c71,1995,0.1833908
tur,c29,1995,0.1837157
isl,c50t52,2005,0.1837784
aus,c31,1995,0.1838465
hkg,c25,2000,0.184499
cze,c10t14,2000,0.1845039
lva,c85,2000,0.184809
nzl,c72,2005,0.1849077
sgp,c29,1995,0.1849897
can,c50t52,2008,0.1853389
idn,c85,2000,0.1858972
hkg,c29,1995,0.1859325
nor,c26,2008,0.1859448
bra,c80,2000,0.1860468
aus,c29,1995,0.1863087
aus,c35,1995,0.1868719
irl,c25,2008,0.1870335
nzl,c70,1995,0.1874145
row,c72,1995,0.187748
phl,c21t22,2005,0.1880515
khm,c29,2005,0.1881447
aus,c36t37,2008,0.1882056
khm,c29,2000,0.1882648
bgr,c73t74,1995,0.1883248
hkg,c26,1995,0.1883285
chn,c80,2005,0.1885987
irl,c20,2008,0.1886007
irl,c26,2005,0.1886208
nor,c75,2005,0.1890453
mys,c35,2000,0.1892293
nor,c31,2000,0.1892553
sau,c65t67,1995,0.1897095
row,c64,1995,0.1897634
vnm,c26,1995,0.1897901
aus,c25,1995,0.1903344
usa,c40t41,2000,0.1905964
tur,c10t14,1995,0.191163
lva,c29,2005,0.1912167
irl,c34,1995,0.1912757
irl,c01t05,2008,0.191283
row,c35,1995,0.1916769
che,c01t05,1995,0.1918582
zaf,c45,1995,0.1919497
hkg,c31,2000,0.1925054
isl,c50t52,2000,0.1927167
bgr,c303233,1995,0.1927817
lva,c29,2008,0.1929736
row,c71,2000,0.1933726
lux,c29,2005,0.1933871
can,c17t19,2008,0.1935853
fin,c17t19,2005,0.1937602
nld,c65t67,1995,0.1938503
jpn,c73t74,2005,0.1938511
phl,c27,2000,0.1939135
pol,c80,2008,0.1941587
grc,c31,2000,0.1942223
rus,c25,2000,0.1944444
tha,c73t74,2005,0.1945005
grc,c29,2005,0.1947659
jpn,c73t74,2008,0.1947757
grc,c10t14,1995,0.1950943
lva,c85,2005,0.1951753
chn,c40t41,2008,0.1951754
mys,c36t37,2008,0.1955207
jpn,c17t19,2005,0.1955273
chn,c34,1995,0.1958448
kor,c15t16,2008,0.1959741
isr,c80,2008,0.1961248
fin,c36t37,2008,0.1963193
kor,c36t37,2008,0.1964598
isr,c27,2008,0.1965139
fra,c80,2000,0.1968114
khm,c21t22,2008,0.1968575
twn,c90t93,2008,0.197088
hkg,c90t93,2000,0.1971407
zaf,c35,2000,0.1973351
ltu,c303233,2005,0.1975389
sgp,c21t22,2000,0.1975659
ltu,c29,2005,0.1977888
sau,c50t52,2008,0.1982514
idn,c29,1995,0.1982654
grc,c20,1995,0.1983019
fin,c01t05,2005,0.19872
cyp,c40t41,2005,0.1989506
hkg,c29,2005,0.1994938
chn,c40t41,2005,0.1995243
twn,c21t22,2005,0.1998319
nor,c36t37,2000,0.1999795
chn,c75,2005,0.2002081
isl,c27,2005,0.2005266
est,c29,1995,0.20068
deu,c85,1995,0.2013028
rou,c65t67,2000,0.2013704
phl,c29,2008,0.2015189
bel,c35,1995,0.2017128
svk,c303233,1995,0.2017318
aus,c29,2005,0.2018253
ita,c71,2000,0.201934
sau,c26,2008,0.2020249
irl,c28,2008,0.2020535
vnm,c31,1995,0.2026106
chl,c65t67,2005,0.2026247
vnm,c25,2005,0.2026336
mlt,c72,2000,0.202726
lva,c90t93,2008,0.2028052
nzl,c72,2008,0.2031014
cyp,c21t22,2008,0.2036543
isl,c50t52,1995,0.2038343
prt,c80,2000,0.2038697
tha,c73t74,2000,0.2042632
mys,c90t93,1995,0.204302
isr,c29,2000,0.2045913
khm,c35,2000,0.2046797
che,c23,2005,0.2050356
zaf,c35,1995,0.2052416
chl,c27,2008,0.2053339
nld,c17t19,2008,0.2053342
lva,c24,2008,0.2054553
rus,c15t16,2005,0.205544
mys,c65t67,2008,0.2057
fin,c17t19,2000,0.2058107
sgp,c70,2005,0.2059475
isr,c80,2000,0.2062976
zaf,c17t19,2005,0.206365
ind,c34,2000,0.2065051
khm,c25,2000,0.206544
bgr,c55,2008,0.2069276
lux,c71,2008,0.2072312
jpn,c64,2000,0.2076155
svn,c23,2000,0.2076311
zaf,c31,1995,0.2077567
mys,c90t93,2000,0.2079702
isl,c27,1995,0.208225
isl,c27,2008,0.2082252
swe,c01t05,2008,0.2102186
jpn,c21t22,2000,0.2102941
chl,c36t37,1995,0.210311
usa,c40t41,2005,0.2103725
phl,c70,2000,0.2105124
cze,c71,2005,0.2106633
nor,c26,2000,0.2107848
aus,c31,2000,0.2108586
phl,c21t22,2000,0.2111044
est,c21t22,1995,0.2111081
lux,c70,1995,0.2112149
phl,c24,1995,0.2112533
jpn,c65t67,2005,0.211339
idn,c80,1995,0.2113436
lva,c24,2005,0.2119003
fin,c65t67,1995,0.212643
nor,c65t67,2000,0.2131287
khm,c28,2000,0.2134853
irl,c35,2000,0.2136517
tur,c303233,1995,0.2137104
nzl,c72,2000,0.213722
aus,c29,2000,0.2139218
arg,c35,1995,0.2141867
mys,c21t22,2008,0.2149413
bel,c303233,1995,0.2149777
row,c35,2000,0.2149823
chl,c28,2005,0.2151957
jpn,c65t67,2000,0.2157189
nor,c71,2008,0.2158463
rou,c80,2005,0.2158958
sgp,c25,1995,0.2163334
phl,c24,2000,0.2163338
lux,c36t37,1995,0.2166397
aus,c21t22,2008,0.2166855
fin,c34,2008,0.2168479
hun,c85,2005,0.2168615
swe,c01t05,2005,0.2171174
aus,c25,2000,0.2173199
prt,c10t14,1995,0.2173254
grc,c71,2000,0.2174316
khm,c28,2005,0.2175242
chn,c23,2008,0.218258
irl,c28,2000,0.2187918
brn,c01t05,2000,0.218912
jpn,c21t22,2005,0.2192778
chl,c26,2005,0.2196087
arg,c36t37,2008,0.2196959
grc,c35,2000,0.2204392
bel,c71,2005,0.2204811
chl,c17t19,1995,0.220604
arg,c29,2008,0.2206041
fin,c01t05,2000,0.2207109
zaf,c45,2008,0.2210959
can,c70,2005,0.2211906
phl,c25,2008,0.2213236
hkg,c90t93,2005,0.221365
isl,c25,1995,0.2213894
mex,c60t63,2008,0.2218678
dnk,c80,2008,0.2219541
ltu,c73t74,2005,0.2221015
rus,c17t19,2000,0.2225645
vnm,c70,2008,0.2226292
cyp,c36t37,2000,0.2230615
nor,c20,2005,0.2232761
sgp,c36t37,1995,0.2241075
jpn,c17t19,2000,0.2241639
esp,c85,2005,0.2241763
che,c73t74,2008,0.2245402
mlt,c01t05,1995,0.2247741
row,c27,2008,0.2248518
isl,c25,2000,0.2249718
hkg,c21t22,1995,0.2253439
phl,c70,2005,0.225379
chn,c65t67,1995,0.225401
fin,c36t37,2005,0.2257046
prt,c80,1995,0.2257693
mex,c20,2000,0.2264431
chl,c26,1995,0.2265832
nld,c17t19,2005,0.2269489
rus,c15t16,2008,0.2272812
fin,c34,2005,0.2273088
grc,c31,1995,0.2273475
ind,c303233,1995,0.2279134
fin,c34,2000,0.2279524
irl,c75,2005,0.2281434
nor,c28,2005,0.2283309
irl,c29,2000,0.22883
zaf,c45,2000,0.2289724
aus,c25,2005,0.2292208
tur,c73t74,2008,0.2292493
nor,c31,2005,0.2296386
bgr,c73t74,2008,0.2297267
ltu,c72,2005,0.2299016
mex,c29,1995,0.2299286
twn,c21t22,2000,0.230658
row,c29,2008,0.2309631
kor,c65t67,2000,0.2312149
usa,c17t19,2008,0.2316564
nor,c71,2005,0.2317365
hkg,c80,2005,0.231852
khm,c31,1995,0.2326314
swe,c303233,2005,0.2326406
svk,c80,1995,0.2326685
swe,c17t19,1995,0.2330967
irl,c01t05,2005,0.2333298
jpn,c90t93,1995,0.2340909
bgr,c71,2005,0.2347811
isr,c80,2005,0.2350737
irl,c36t37,2005,0.2350862
chl,c27,1995,0.2354978
aus,c35,2005,0.2355021
bel,c35,2005,0.235503
khm,c10t14,2000,0.2355808
che,c17t19,2005,0.2356181
grc,c21t22,1995,0.2356548
hun,c80,1995,0.2358204
kor,c65t67,2005,0.2362063
ita,c80,2005,0.2362376
esp,c70,2008,0.2362963
sgp,c25,2000,0.2365658
nzl,c29,1995,0.2366411
prt,c50t52,1995,0.2366794
pol,c10t14,2008,0.2369827
tur,c20,2005,0.2370734
rou,c90t93,2008,0.2373662
mys,c40t41,2008,0.2373707
lva,c90t93,2000,0.2376395
phl,c70,2008,0.2377418
grc,c24,1995,0.2379248
mex,c40t41,1995,0.2379714
svn,c65t67,2005,0.2386134
aus,c26,1995,0.238854
bel,c85,1995,0.2390342
rou,c34,2000,0.2390818
tur,c303233,2000,0.2400351
chl,c26,2000,0.2402903
bra,c303233,2000,0.2403364
arg,c29,1995,0.2403372
fin,c71,2000,0.2405351
lva,c85,2008,0.2405554
bra,c36t37,2008,0.2405631
zaf,c29,1995,0.240786
ind,c34,1995,0.2408904
svn,c35,1995,0.240988
mys,c36t37,2005,0.2413075
mex,c65t67,1995,0.2415022
sgp,c21t22,2005,0.2415097
bgr,c55,2000,0.2417339
chn,c45,1995,0.2418483
cze,c23,2008,0.2418604
lva,c90t93,1995,0.2423109
chl,c24,1995,0.242375
arg,c31,1995,0.2423863
bra,c72,2000,0.2426546
chn,c34,2005,0.2427155
aut,c01t05,1995,0.2428295
isl,c35,2008,0.242877
isr,c90t93,1995,0.2433449
fin,c65t67,2005,0.2437918
deu,c65t67,1995,0.2441854
deu,c71,2008,0.244536
aut,c01t05,2008,0.2446238
sau,c45,2005,0.2447518
sau,c26,2005,0.2448321
chn,c21t22,2000,0.2450429
tha,c34,1995,0.2451082
twn,c75,2005,0.245169
vnm,c65t67,2008,0.2453258
tur,c55,2008,0.2459764
aut,c70,1995,0.2459808
svk,c72,2005,0.2459856
tur,c21t22,2005,0.2463872
svk,c75,1995,0.2464842
mex,c40t41,2000,0.2467008
chl,c70,2000,0.2469626
nzl,c35,2000,0.2470856
isl,c27,2000,0.2471104
isl,c10t14,2008,0.2475222
isr,c21t22,2005,0.2475298
est,c29,2000,0.2478228
nor,c90t93,2000,0.2478579
lux,c29,2000,0.2480232
nzl,c23,2000,0.2488393
cyp,c40t41,2008,0.2488754
aut,c23,2008,0.2492334
jpn,c23,2000,0.2493203
idn,c31,1995,0.2494173
fin,c01t05,1995,0.2494942
svn,c65t67,1995,0.2496277
nzl,c35,2005,0.2501856
jpn,c40t41,1995,0.2501866
hkg,c75,2005,0.2502171
sgp,c25,2005,0.2502974
mex,c20,1995,0.250956
che,c35,2000,0.2512755
est,c34,1995,0.2513599
esp,c85,1995,0.2514248
deu,c17t19,2008,0.2516004
prt,c80,2005,0.2520486
arg,c36t37,2005,0.2521824
arg,c36t37,2000,0.252548
zaf,c31,2000,0.2526262
arg,c20,1995,0.2527029
fin,c50t52,1995,0.2529306
lux,c24,1995,0.2530223
row,c71,2008,0.2530846
rus,c17t19,1995,0.2532034
hkg,c90t93,2008,0.2534061
aus,c36t37,2005,0.2536344
twn,c71,1995,0.2539527
tur,c23,1995,0.2540185
fin,c15t16,2005,0.2540758
bel,c85,2000,0.2541396
bra,c303233,2005,0.2542866
vnm,c80,2008,0.2545356
vnm,c21t22,2008,0.2547937
sgp,c36t37,2008,0.2548077
tha,c29,2008,0.2550159
lux,c75,2000,0.2550903
che,c73t74,1995,0.2551129
che,c17t19,1995,0.2551923
zaf,c17t19,2008,0.2554742
mys,c27,2008,0.2556825
tur,c23,2000,0.2559227
bel,c303233,2000,0.2560316
ltu,c34,2000,0.2566051
nzl,c26,1995,0.2566239
pol,c303233,1995,0.2566707
nld,c17t19,2000,0.2566964
chl,c28,2000,0.2569742
chn,c50t52,1995,0.2570361
nor,c90t93,2005,0.2572343
ita,c71,2005,0.2579981
hkg,c36t37,1995,0.2580506
mys,c21t22,2000,0.2581964
khm,c25,2005,0.2587023
est,c85,2005,0.2587303
hkg,c80,2000,0.2587496
nld,c20,2000,0.2588231
isl,c25,2005,0.2588406
mys,c65t67,2005,0.259117
che,c73t74,2005,0.2591776
arg,c29,2005,0.2592954
kor,c90t93,2008,0.2593463
mex,c60t63,2005,0.2596666
ltu,c73t74,1995,0.2600602
fin,c15t16,2008,0.2604341
nzl,c29,2005,0.2605263
idn,c303233,1995,0.2606143
pol,c303233,2000,0.2607664
vnm,c35,2005,0.2608054
svn,c35,2005,0.261074
nor,c31,1995,0.2618924
sau,c45,2000,0.262
tha,c29,2005,0.2621296
isl,c17t19,2008,0.2628052
usa,c40t41,2008,0.2630477
row,c60t63,2005,0.2630519
mys,c21t22,2005,0.2630828
brn,c73t74,2000,0.2638948
twn,c21t22,2008,0.2640379
esp,c40t41,1995,0.2646436
svn,c90t93,2008,0.2648297
irl,c45,1995,0.2649748
tur,c73t74,2005,0.2652186
mex,c29,2000,0.2657047
che,c17t19,2008,0.2658142
khm,c35,2005,0.2658565
nzl,c26,2005,0.2658634
lva,c31,1995,0.2662652
chn,c34,2008,0.266317
ind,c29,1995,0.266333
cze,c65t67,1995,0.2669663
pol,c65t67,2000,0.2673405
lva,c71,2005,0.2674617
chn,c75,2008,0.267915
jpn,c17t19,1995,0.2679861
rus,c34,2005,0.268054
nld,c20,2005,0.2683101
bra,c40t41,2000,0.2684069
cyp,c36t37,1995,0.2685689
vnm,c28,2008,0.2686759
dnk,c17t19,2005,0.26918
esp,c303233,2000,0.2692719
deu,c90t93,2000,0.2699046
khm,c28,2008,0.2701103
zaf,c45,2005,0.2701755
aut,c23,1995,0.2703307
aut,c303233,2008,0.270742
che,c73t74,2000,0.270836
grc,c36t37,1995,0.2710263
row,c71,2005,0.2717435
can,c17t19,2005,0.2720751
bra,c75,2008,0.2720769
jpn,c23,2005,0.2721314
nld,c20,1995,0.272276
svk,c303233,2000,0.2722988
lux,c71,2000,0.2725209
deu,c80,2008,0.2730827
nor,c25,1995,0.2730877
chn,c23,2005,0.2731914
pol,c73t74,2005,0.2731999
grc,c20,2000,0.2732003
chl,c26,2008,0.2732328
rus,c34,2008,0.2733268
hkg,c40t41,2008,0.273365
cze,c50t52,2005,0.273492
aus,c29,2008,0.2737146
vnm,c90t93,2008,0.2738894
ita,c303233,2008,0.2739344
ind,c64,1995,0.2740327
aus,c26,2005,0.2740571
pol,c73t74,2000,0.2742005
isr,c31,2005,0.2751374
chl,c27,2005,0.2753297
est,c85,2000,0.2754453
nzl,c73t74,2008,0.2756766
jpn,c21t22,2008,0.2757283
phl,c73t74,2005,0.2759403
bgr,c34,2008,0.2761839
chl,c73t74,1995,0.2762123
rou,c90t93,2000,0.2766583
aus,c65t67,2005,0.2768756
arg,c36t37,1995,0.2769557
chl,c90t93,2008,0.277023
isl,c20,2008,0.2770742
can,c17t19,1995,0.2774858
aus,c24,2008,0.2775088
can,c303233,2005,0.2780864
ind,c303233,2005,0.2781131
dnk,c17t19,2008,0.2782559
chl,c65t67,2000,0.2785966
nor,c29,2000,0.2786599
lux,c75,1995,0.278771
fin,c15t16,2000,0.2788833
arg,c29,2000,0.2788888
esp,c303233,2005,0.2788969
esp,c85,2000,0.2791855
svn,c65t67,2008,0.2792528
aus,c34,2005,0.2795151
isl,c45,2008,0.2796389
che,c01t05,2000,0.2800704
dnk,c85,2000,0.2801361
sau,c45,1995,0.2805619
chn,c21t22,2005,0.2806475
deu,c01t05,2005,0.2817456
khm,c10t14,1995,0.2820802
fin,c55,2005,0.2823449
tha,c29,2000,0.2825186
mex,c60t63,2000,0.2829436
arg,c31,2000,0.2830598
irl,c01t05,2000,0.2832753
nor,c29,2005,0.283361
mys,c36t37,2000,0.2836335
mys,c27,1995,0.2839033
chl,c23,1995,0.2841935
hkg,c28,2005,0.2850675
phl,c73t74,2000,0.2852295
lva,c70,1995,0.2853485
hun,c80,2000,0.2853581
brn,c73t74,1995,0.2854573
hkg,c35,2005,0.2857872
svn,c90t93,2005,0.2861237
che,c17t19,2000,0.2863463
grc,c28,2000,0.2864852
row,c28,2008,0.2866653
isr,c15t16,2000,0.2871563
bel,c35,2000,0.2872272
bra,c75,2005,0.2876749
phl,c60t63,2000,0.2877053
rou,c303233,1995,0.287721
nzl,c10t14,2008,0.2878658
nld,c303233,2008,0.2878829
nzl,c29,2000,0.2883505
twn,c73t74,1995,0.2890716
aus,c34,2008,0.2895064
aus,c26,2000,0.2900744
can,c71,2005,0.2901773
dnk,c80,2000,0.2902501
lux,c17t19,2000,0.2908072
lux,c45,1995,0.2908393
isr,c29,2005,0.2909211
cze,c50t52,2008,0.2909872
chl,c25,1995,0.291077
mys,c85,1995,0.2911406
nor,c36t37,1995,0.2914993
dnk,c303233,2005,0.2915847
deu,c01t05,2008,0.2916837
irl,c45,2000,0.2919879
sgp,c35,2000,0.2923919
arg,c25,1995,0.2925232
mys,c36t37,1995,0.292652
fin,c17t19,1995,0.2929003
ita,c23,1995,0.2929206
irl,c36t37,2000,0.2933452
irl,c36t37,1995,0.2933682
idn,c35,2000,0.2933973
can,c73t74,2005,0.2936358
rou,c21t22,2008,0.2940453
svn,c71,1995,0.2943066
phl,c23,2005,0.2947533
khm,c25,2008,0.2950555
dnk,c10t14,1995,0.2953701
kor,c26,2008,0.2965648
prt,c70,2005,0.2968947
vnm,c25,2008,0.297158
twn,c23,2000,0.2975128
mlt,c26,2005,0.297524
fra,c80,1995,0.2975378
bra,c303233,2008,0.2987328
chn,c45,2000,0.2990704
idn,c71,1995,0.2991228
kor,c21t22,1995,0.2991238
can,c45,2008,0.2991522
mlt,c34,2008,0.299162
swe,c71,2000,0.2996707
tur,c34,1995,0.2996794
zaf,c17t19,1995,0.2997752
sgp,c25,2008,0.2997898
bel,c90t93,2000,0.2999857
ind,c65t67,1995,0.3000278
twn,c34,1995,0.3008989
rou,c25,1995,0.3009505
est,c90t93,2008,0.3011759
nzl,c26,2000,0.3016526
nzl,c35,1995,0.3018252
lva,c31,2000,0.3022595
idn,c60t63,2000,0.3022646
sgp,c15t16,2008,0.3025286
nzl,c29,2008,0.3026245
arg,c20,2000,0.302725
nld,c17t19,1995,0.3028778
vnm,c60t63,2008,0.3030348
nor,c28,2000,0.3032518
chl,c28,2008,0.3032589
lux,c01t05,2005,0.3039746
gbr,c17t19,2000,0.3040623
ind,c29,2000,0.3042437
irl,c20,1995,0.3044587
phl,c15t16,2008,0.3048075
phl,c10t14,2005,0.3048999
swe,c01t05,1995,0.3049054
kor,c36t37,2005,0.3050346
tur,c55,2005,0.3053804
hun,c85,1995,0.3058309
gbr,c71,2005,0.305957
grc,c71,2008,0.3061153
phl,c29,2005,0.3067007
jpn,c55,2008,0.306717
mlt,c26,2000,0.3068851
twn,c45,2000,0.3069904
sgp,c26,2008,0.307057
aus,c65t67,2008,0.3073707
che,c35,1995,0.3076138
cze,c35,2000,0.3080816
fin,c36t37,2000,0.308089
kor,c73t74,2000,0.3082749
hkg,c35,2008,0.3094165
esp,c303233,1995,0.3094378
isl,c90t93,2008,0.3101223
sgp,c45,2000,0.3104317
dnk,c65t67,2008,0.3105339
aus,c23,2008,0.3109272
isl,c80,2008,0.311089
che,c27,2008,0.3111323
swe,c71,2005,0.3111573
bel,c75,1995,0.3116834
nor,c45,1995,0.3118295
mys,c27,2005,0.311964
mex,c21t22,2000,0.3121575
row,c24,2008,0.3125445
kor,c64,2008,0.3127156
grc,c25,1995,0.3128653
lva,c21t22,1995,0.312919
gbr,c01t05,2000,0.3129686
kor,c15t16,2000,0.3129758
ita,c64,1995,0.3131193
phl,c25,1995,0.3134156
est,c55,2000,0.3136692
nld,c34,1995,0.3141299
twn,c21t22,1995,0.3141824
aus,c28,2005,0.3151217
ltu,c29,2008,0.3152695
bgr,c72,2000,0.3152798
svn,c23,1995,0.3153893
grc,c21t22,2008,0.3156512
fra,c65t67,2008,0.31568
arg,c25,2000,0.3157245
lux,c29,1995,0.3157637
kor,c15t16,1995,0.3159432
pol,c72,2000,0.3159958
idn,c27,1995,0.3160029
lux,c15t16,2008,0.3160603
fra,c64,1995,0.3161913
svk,c35,2005,0.3168655
nzl,c72,1995,0.3168837
tha,c27,1995,0.3169512
kor,c45,2000,0.317445
arg,c75,1995,0.3176205
arg,c65t67,2005,0.3179414
chl,c90t93,2005,0.3187828
can,c50t52,2000,0.3188527
nzl,c23,1995,0.3189575
ind,c64,2000,0.3192285
dnk,c35,2005,0.3192413
kor,c45,2008,0.3195147
deu,c17t19,2005,0.319643
nld,c20,2008,0.3199746
nld,c71,2005,0.320191
isl,c80,2005,0.3204684
arg,c65t67,2008,0.3208698
aut,c35,1995,0.3211715
brn,c36t37,1995,0.3212276
isr,c17t19,2000,0.3215286
sau,c70,2000,0.3219132
phl,c26,1995,0.3223258
esp,c85,2008,0.3224907
isl,c90t93,1995,0.3227351
isr,c29,1995,0.3232791
rou,c21t22,2005,0.3236453
irl,c90t93,2000,0.323654
idn,c35,2005,0.3244241
swe,c01t05,2000,0.3246213
bra,c85,2005,0.3248043
chn,c72,2005,0.3248784
bel,c303233,2008,0.3249191
cze,c35,2005,0.3251595
ind,c34,2005,0.3255632
chn,c60t63,2008,0.3255641
prt,c45,1995,0.3258754
bgr,c34,1995,0.3259534
phl,c65t67,2005,0.3261091
tur,c64,2008,0.3261421
tur,c24,2005,0.3266367
zaf,c31,2005,0.3267353
zaf,c17t19,2000,0.3267381
cze,c303233,2000,0.3270038
twn,c85,2000,0.3271298
hun,c36t37,2005,0.3272768
phl,c10t14,2000,0.3277483
est,c90t93,2005,0.3277667
arg,c75,2000,0.3277856
tur,c73t74,2000,0.3280572
nor,c26,1995,0.3281775
chn,c21t22,2008,0.3282813
est,c71,2000,0.3287056
nld,c31,1995,0.3294753
bra,c50t52,1995,0.3295824
bgr,c73t74,2000,0.3296113
ltu,c90t93,2005,0.3296308
can,c71,2000,0.3297235
brn,c70,1995,0.3297403
grc,c24,2000,0.3297946
mlt,c85,2000,0.3298301
nor,c90t93,2008,0.3299336
nor,c24,2008,0.3299636
rou,c21t22,1995,0.3300353
ita,c303233,2000,0.3304667
gbr,c40t41,2008,0.3305213
pol,c64,2005,0.3305251
lva,c35,2000,0.3305493
svn,c35,2000,0.3313552
ltu,c303233,2008,0.331447
bgr,c303233,2008,0.3315839
lux,c20,2005,0.3318098
nld,c65t67,2000,0.33189
phl,c65t67,2000,0.3319509
est,c35,2000,0.3319779
khm,c26,1995,0.3320805
aus,c21t22,1995,0.3325448
dnk,c50t52,2000,0.332586
deu,c45,2008,0.3326415
sgp,c29,2000,0.3328629
khm,c35,2008,0.3329788
vnm,c31,2000,0.3329975
che,c27,1995,0.3335817
lux,c17t19,2005,0.3337691
jpn,c73t74,1995,0.334087
rou,c85,2005,0.3342263
nor,c75,2008,0.3342388
can,c65t67,2005,0.3344238
fin,c40t41,2000,0.3349978
fin,c90t93,2000,0.3353005
hkg,c25,1995,0.3354366
irl,c25,2000,0.3354404
sau,c50t52,2000,0.3358673
idn,c65t67,2000,0.3361727
usa,c70,2008,0.3363768
arg,c25,2005,0.3369149
svk,c73t74,2005,0.3377594
tur,c21t22,2008,0.3380902
bra,c28,2005,0.3381763
aut,c35,2000,0.338676
mys,c65t67,2000,0.3388844
rus,c26,2005,0.3390156
nor,c65t67,2005,0.3391339
lva,c71,2008,0.3391741
swe,c90t93,2000,0.3395411
est,c23,2008,0.3398085
isr,c26,2000,0.3402038
bgr,c25,2000,0.3402202
hun,c65t67,2000,0.3403298
swe,c15t16,1995,0.3404605
swe,c45,1995,0.3412575
mex,c29,2005,0.3415852
zaf,c25,1995,0.3415867
vnm,c60t63,2005,0.3416977
sau,c50t52,1995,0.3419646
kor,c26,1995,0.3420665
aus,c50t52,2008,0.3421274
kor,c01t05,1995,0.3422929
ind,c29,2005,0.3426988
nzl,c36t37,2005,0.3427148
brn,c28,1995,0.3429078
arg,c20,2005,0.3429117
usa,c17t19,2005,0.3429739
cze,c23,2005,0.3430524
hun,c36t37,2008,0.3436945
aus,c34,2000,0.3438412
esp,c71,2000,0.3440961
irl,c31,2005,0.3442058
dnk,c34,2008,0.3443039
chn,c20,1995,0.3445477
isr,c15t16,2008,0.3445657
chn,c10t14,2000,0.3452714
mys,c85,2000,0.3454059
svn,c303233,2005,0.3454976
bra,c60t63,2005,0.3455501
row,c303233,2008,0.3455902
kor,c15t16,2005,0.3459396
isr,c29,2008,0.3460221
chl,c24,2008,0.3463691
chn,c60t63,2005,0.3466274
sgp,c70,2008,0.3469582
sgp,c31,2000,0.3473544
phl,c36t37,2005,0.347837
zaf,c90t93,1995,0.347887
brn,c45,1995,0.3484425
hun,c71,2005,0.3485839
swe,c90t93,1995,0.3487383
arg,c90t93,2008,0.3488712
est,c24,2000,0.3488796
can,c65t67,2008,0.3493142
pol,c303233,2005,0.3494649
deu,c90t93,2005,0.3496997
dnk,c21t22,2008,0.3497472
rou,c29,1995,0.3499104
svn,c50t52,2000,0.350167
prt,c35,2008,0.350918
aus,c28,1995,0.3513037
tur,c40t41,2000,0.3513601
nor,c65t67,2008,0.3515487
chn,c85,2000,0.3516557
mlt,c75,2005,0.3522094
svn,c90t93,1995,0.3525826
tur,c24,2000,0.3526559
ltu,c34,2008,0.3529005
gbr,c40t41,2000,0.3529637
nzl,c10t14,2005,0.3530197
chl,c24,2005,0.3532007
idn,c80,2000,0.3532932
bra,c90t93,2005,0.353294
can,c17t19,2000,0.3533751
vnm,c65t67,2005,0.3537457
phl,c26,2008,0.3544347
kor,c64,2000,0.3548699
aus,c34,1995,0.3552759
prt,c29,1995,0.3553067
mex,c23,2000,0.3557459
rou,c90t93,2005,0.3560293
mlt,c24,1995,0.3563263
zaf,c34,1995,0.35702
nzl,c35,2008,0.3572036
sau,c70,2005,0.3579449
idn,c29,2005,0.3581714
ltu,c85,2008,0.3581728
bgr,c31,2000,0.3582571
bgr,c21t22,2000,0.358556
cze,c65t67,2005,0.3588308
arg,c90t93,2005,0.3595676
zaf,c65t67,2008,0.3598825
phl,c28,2008,0.3604336
deu,c01t05,1995,0.3604517
grc,c28,1995,0.3604838
lux,c20,2000,0.3609297
