ctry,isic,year,nat_res_exp_sha_t_3,trca,avg_gdppc,pop
sgp,c72,2000,.0019821,2.376645,29983.94,4.028
tha,c55,2000,.0149249,1.757143,2766.188,61.879
tun,c75,2000,.0761208,0,3325.969,9.553
vnm,c64,2008,.2263048,.1549443,737.6383,85.119
swe,c73t74,1995,.0115984,1.461676,41830.47,8.837
can,c75,2000,.1110334,3.562846,34929.9,30.647
deu,c60t63,2008,.0104834,.6707316,35470.16,82.002
rus,c45,2008,.2860433,1.820308,5489.474,142.7
cyp,c17t19,1995,.0195795,.8536707,23856.62,.652
mys,c71,2011,.1122961,.2632895,5704.014,29.062
aus,c72,1995,.2007802,1.44086,33756.87,18.12
hkg,c23,2008,.0008738,.0054226,27678.18,6.964
jpn,c23,2008,.0015336,.4392294,35227.1,128.065
phl,c95,2005,.0343684,,1250.67,85.26
mys,c64,2011,.1122961,1.600676,5704.014,29.062
sau,c34,1995,.7014383,.0373452,14075.39,18.136
lva,c64,2000,.0447945,2.022467,7167.697,2.382
deu,c60t63,1995,.0104268,.77433,35470.16,81.817
che,c45,2008,.0006961,.2283099,55462.7,7.593
ltu,c34,1995,.0900988,.0304094,7746.578,
esp,c80,2005,.0337014,.5904703,25309.04,43.663
swe,c65t67,2008,.0156882,.5883254,41830.47,9.256
deu,c72,2011,.0127302,1.300828,35470.16,80.328
isr,c45,2005,.0312679,2.009594,21459.01,6.927
hkg,c17t19,2005,.0010841,.7861056,27678.18,6.838
kor,c73t74,2008,.0012555,.6857391,19016.53,48.949
sau,c21t22,2005,.7624034,.1141773,14075.39,23.33
fra,c71,1995,.0334904,2.800243,34197.66,57.753
rou,c36t37,2005,.0200471,1.9503,4940.996,21.609
twn,c01t05,2008,.0043925,.2333293,17220.59,23.037
swe,c01t05,2008,.0156882,.3920155,41830.47,9.256
aus,c85,2011,.4674253,.1774624,33756.87,22.52
mys,c26,2005,.0701728,.4911197,5704.014,26.477
phl,c35,2000,.0226825,.1999379,1250.67,76.79
est,c15t16,2005,.0230771,1.296919,9422.442,1.359
ita,c20,1995,.0125603,.4975356,30794.79,56.846
bel,c31,2005,.0124752,.5449733,36196.01,10.446
nor,c65t67,2011,.4548463,.5124282,64093.89,4.973
twn,c36t37,2011,.0046878,.2327559,17220.59,23.225
isl,c28,2005,.0291826,.03392,53989.79,.294
svn,c15t16,2008,.0135647,.5813463,17829.68,2.01
tun,c65t67,2000,.0761208,.2058599,3325.969,9.553
cri,c23,2011,.1140038,.1459843,4922.468,4.592
rou,c29,2008,.029873,.5520465,4940.996,21.517
idn,c55,2008,.2889087,1.556572,1369.773,231.006
sgp,c64,2008,.0008288,1.105606,29983.94,4.839
sgp,c28,2011,.0009962,.819746,29983.94,5.184
ita,c65t67,2011,.0117128,.4710943,30794.79,59.365
svn,c90t93,2008,.0135647,2.313145,17829.68,2.01
bra,c65t67,2005,.132195,.1873776,5040.921,185.151
aut,c90t93,1995,.0102759,1.731165,38213.98,7.948
khm,c29,2000,.0291745,.029323,496.9252,12.223
kor,c55,2005,.0016689,.2726175,19016.53,48.138
aut,c70,1995,.0102759,2.674481,38213.98,7.948
zaf,c23,1995,.2125946,1.725912,5542.137,40.24
can,c71,2005,.1663045,.4265236,34929.9,32.203
svn,c26,2008,.0135647,1.812366,17829.68,2.01
prt,c36t37,2011,.0280526,.8279395,18446.16,10.558
chl,c303233,2008,.1951965,.0549376,7822.408,16.687
twn,c10t14,2011,.0046878,.0023598,17220.59,23.225
arg,c21t22,2008,.1972967,.561101,6326.527,39.226
che,c65t67,1995,.0101697,5.750682,55462.7,7.019
cri,c20,2011,.1140038,.4063884,4922.468,4.592
svn,c17t19,2008,.0135647,1.209559,17829.68,2.01
svn,c60t63,2008,.0135647,1.251401,17829.68,2.01
cyp,c60t63,1995,.0195795,2.21515,23856.62,.652
sau,c25,2005,.7624034,.1252009,14075.39,23.33
irl,c71,2008,.0066328,7.093074,44928.17,4.485
aus,c28,1995,.2007802,.4018358,33756.87,18.12
nor,c34,2000,.4247995,.0794477,64093.89,4.501
phl,c73t74,2000,.0226825,.5509592,1250.67,76.79
khm,c27,2005,.0109972,.0807602,496.9252,13.356
vnm,c17t19,2000,.2608514,3.50773,737.6383,77.635
col,c71,2011,.5170423,.3490811,3632.116,46.045
jpn,c31,2008,.0015336,.9973729,35227.1,128.065
prt,c50t52,2008,.0289142,1.065308,18446.16,10.558
tur,c90t93,2008,.0303445,1.357944,7122.406,71.052
swe,c303233,2008,.0156882,.9767511,41830.47,9.256
svn,c72,2008,.0135647,.6572151,17829.68,2.01
mex,c15t16,2008,.156625,.7110875,7796.025,111.304
lux,c21t22,2005,.0042436,.6584899,76812.26,.466
nor,c65t67,2008,.458582,.377569,64093.89,4.787
mys,c73t74,2008,.114111,.5217726,5704.014,27.6
tha,c24,2008,.0457563,.8585013,2766.188,66.533
lva,c34,2008,.0542946,.1846987,7167.697,2.192
nzl,c50t52,2005,.0966734,1.012791,26658.4,4.142
bgr,c26,2005,.0510231,1.553549,3944.294,7.719
aut,c27,1995,.0102759,1.173312,38213.98,7.948
isl,c29,2005,.0291826,.2697168,53989.79,.294
lux,c75,1995,.0088969,.6823579,76812.26,.41
hrv,c29,2008,.0202624,.2550133,9801.971,4.31
svn,c01t05,2008,.0135647,.6839002,17829.68,2.01
lva,c10t14,1995,.0657463,.0813191,7167.697,2.501
twn,c24,2008,.0043925,1.414803,17220.59,23.037
rou,c25,2008,.029873,1.247325,4940.996,21.517
irl,c27,2000,.0101793,.1690987,44928.17,3.79
svn,c70,2008,.0135647,1.588022,17829.68,2.01
chl,c95,2005,.2357413,,7822.408,16.165
hun,c15t16,2005,.0224171,.9487773,10400.97,10.098
tun,c45,2011,.1148425,5.860826,3325.969,10.674
svn,c31,2011,.0186886,1.8691,17829.68,2.05
tha,c50t52,2008,.0457563,1.015201,2766.188,66.533
rus,c10t14,1995,.1619174,3.751045,5489.474,148.3
fra,c34,2005,.0252702,1.455184,34197.66,60.963
sau,c40t41,2005,.7624034,.2688204,14075.39,23.33
isr,c27,1995,.0445307,.1453916,21459.01,5.542
grc,c24,2011,.0426086,.6203694,20901.11,11.123
hkg,c24,2005,.0010841,.1591737,27678.18,6.838
tha,c24,2005,.0224211,.9203718,2766.188,65.152
chn,c40t41,1995,.0436444,.6394802,2104.711,1211.21
ind,c24,2008,.047396,1.020623,805.5861,1162
che,c45,2011,.0008957,.2350452,55462.7,7.87
irl,c21t22,2011,.0083073,.6263186,44928.17,4.575
can,c95,2000,.1110334,,34929.9,30.647
tha,c55,2008,.0457563,1.600191,2766.188,66.533
tun,c24,1995,.0621147,1.02653,3325.969,8.958
col,c50t52,2005,.317375,1.16077,3632.116,42.889
jpn,c01t05,2008,.0015336,.0448276,35227.1,128.065
mys,c50t52,2005,.0701728,.9605069,5704.014,26.477
grc,c65t67,2011,.0426086,.5105864,20901.11,11.123
idn,c85,2000,.2241637,.3580565,1369.773,206.265
fin,c21t22,2008,.0091011,6.613915,37512.24,5.326
idn,c01t05,2000,.2241637,.6988961,1369.773,206.265
nor,c27,1995,.3090688,1.828725,64093.89,4.37
fra,c10t14,1995,.0334904,.0544749,34197.66,57.753
svn,c28,2011,.0186886,4.148348,17829.68,2.05
cri,c71,1995,.2085302,1.501509,4922.468,
lux,c28,2005,.0042436,.522855,76812.26,.466
khm,c10t14,2005,.0109972,.0002185,496.9252,13.356
svn,c29,2000,.0089087,1.567391,17829.68,1.988
bgr,c72,2000,.0721009,.174484,3944.294,8.15
bra,c303233,2000,.1031762,.3634813,5040.921,173.448
mys,c36t37,2005,.0701728,.4837301,5704.014,26.477
nld,c64,2011,.0442879,2.838173,41576.05,16.693
dnk,c45,2005,.0614283,.4668717,47018.16,5.411
nld,c17t19,1995,.0751671,.3837929,41576.05,15.459
phl,c34,1995,.0229963,.1270732,1250.67,68.41
deu,c70,2011,.0127302,.8901614,35470.16,80.328
idn,c34,1995,.2187577,.0394395,1369.773,194.755
rou,c36t37,2008,.029873,1.509799,4940.996,21.517
bel,c40t41,2011,.0167059,2.502262,36196.01,11.001
chn,c72,2011,.0096865,.3864199,2104.711,1347.35
tun,c28,2005,.0863808,.479445,3325.969,10.029
che,c73t74,2011,.0008957,.1994047,55462.7,7.87
rus,c90t93,2005,.3045996,.2043746,5489.474,143.2
isl,c60t63,2011,.0147566,3.585831,53989.79,.318
isr,c35,2008,.0413756,.6963896,21459.01,7.307
arg,c35,2000,.1910247,.1832074,6326.527,35.923
hkg,c45,1995,.0049018,.8183706,27678.18,6.27
rou,c65t67,2000,.0285166,.5243963,4940.996,22.334
cze,c25,2011,.0240207,2.23146,13323.08,10.487
che,c72,2008,.0006961,.0198219,55462.7,7.593
svn,c50t52,2000,.0089087,.6415495,17829.68,1.988
grc,c24,1995,.0741848,.4233445,20901.11,10.672
swe,c36t37,2008,.0156882,.5475881,41830.47,9.256
bel,c36t37,2005,.0124752,.8900495,36196.01,10.446
grc,c65t67,2005,.0416306,.2418324,20901.11,11.074
aus,c23,2008,.4058493,.2072076,33756.87,21.476
phl,c90t93,2005,.0343684,.6187744,1250.67,85.26
mys,c23,2008,.114111,1.100153,5704.014,27.6
bgr,c36t37,1995,.0715823,.3124647,3944.294,8.297
est,c80,2005,.0230771,.8774292,9422.442,1.359
mlt,c72,2008,.0180064,3.638812,15195.1,.408
prt,c20,2000,.0149709,4.325528,18446.16,10.29
rou,c95,2008,.029873,,4940.996,21.517
tha,c26,2000,.0149249,1.449388,2766.188,61.879
ita,c17t19,1995,.0125603,2.412196,30794.79,56.846
nzl,c01t05,2008,.1260426,5.012117,26658.4,4.266
twn,c17t19,2000,.0017287,1.590831,17220.59,22.277
hrv,c75,1995,.0232333,.2806168,9801.971,4.453
ltu,c10t14,2008,.0616285,.0702411,7746.578,3.198
lux,c17t19,2005,.0042436,.3980216,76812.26,.466
can,c35,2011,.2270879,1.040992,34929.9,34.303
mlt,c24,2005,.0129305,.3446169,15195.1,.403
vnm,c70,2000,.2608514,.8134573,737.6383,77.635
fin,c40t41,1995,.0122247,1.422935,37512.24,5.117
swe,c31,1995,.0115984,.8922176,41830.47,8.837
kor,c15t16,1995,.0082393,.3276111,19016.53,45.093
rus,c10t14,2005,.3045996,3.832692,5489.474,143.2
chl,c45,2011,.2075923,2.432204,7822.408,17.256
sau,c15t16,2005,.7624034,.1701141,14075.39,23.33
chl,c25,2011,.2075923,.4659002,7822.408,17.256
